Wall time,Step,Value
1648906074.900587,0,24331.0
1648906075.356392,1,17642.873046875
1648906077.873775,2,15240.029296875
1648906084.367362,3,12254.3837890625
1648906090.820432,4,15569.0791015625
1648906097.291805,5,11859.1484375
1648906103.784271,6,11415.30078125
1648906110.450748,7,10918.2021484375
1648906117.1905322,8,3611.874267578125
1648906124.0742779,9,14805.7548828125
1648906131.111389,10,17079.060546875
1648906138.252362,11,12241.3857421875
1648906145.492939,12,12896.4150390625
1648906152.624752,13,9633.53125
1648906159.486219,14,7478.1103515625
1648906166.395707,15,5867.52392578125
1648906173.3414981,16,4720.83154296875
1648906180.4253151,17,7246.400390625
1648906187.378291,18,9102.20703125
1648906194.195379,19,11510.4267578125
1648906201.061576,20,10783.6484375
1648906208.1343548,21,12293.3408203125
1648906214.943489,22,5724.564453125
1648906221.7809658,23,4394.31494140625
1648906228.6307662,24,7190.37451171875
1648906235.480316,25,5285.1572265625
1648906242.289535,26,3702.71533203125
1648906249.306137,27,6462.0263671875
1648906256.230317,28,4443.7353515625
1648906263.208632,29,3867.19091796875
1648906270.194338,30,5860.998046875
1648906277.22504,31,5173.966796875
1648906284.7154188,32,5457.0615234375
1648906291.843977,33,13802.751953125
1648906299.052458,34,5012.166015625
1648906306.284408,35,3429.300537109375
1648906313.347502,36,9132.416015625
1648906320.33139,37,6808.80908203125
1648906327.395388,38,4623.56396484375
1648906334.372104,39,6086.67041015625
1648906341.461151,40,7042.89990234375
1648906348.5982342,41,7977.9326171875
1648906355.538643,42,8933.0595703125
1648906362.5644748,43,8910.384765625
1648906369.63812,44,12562.703125
1648906376.776002,45,7682.54736328125
1648906383.875225,46,8409.5224609375
1648906391.026926,47,5284.97021484375
1648906398.363555,48,5426.22021484375
1648906405.894922,49,6850.9873046875
1648906413.695773,50,5289.25732421875
1648906421.1741598,51,5619.4521484375
1648906428.6259148,52,5042.48974609375
1648906436.023618,53,3653.947265625
1648906443.195211,54,5436.05029296875
1648906450.521537,55,8197.208984375
1648906458.034246,56,5184.52001953125
1648906465.451149,57,4725.1953125
1648906472.93562,58,3641.383056640625
1648906480.364649,59,6331.92919921875
