Wall time,Step,Value
1648897940.4230049,0,56678.0
1648897940.9505339,1,46483.0
1648897943.500572,2,47724.5546875
1648897950.812236,3,41466.15234375
1648897957.7554328,4,34522.453125
1648897964.70024,5,37247.52734375
1648897971.718171,6,39508.5625
1648897978.746272,7,34107.67578125
1648897986.088604,8,34270.484375
1648897993.361471,9,37670.390625
1648898000.6496372,10,29894.375
1648898007.9363341,11,31003.9453125
1648898015.2336981,12,35447.12109375
1648898022.5608242,13,27035.123046875
1648898029.8880541,14,33078.4921875
1648898037.262294,15,32364.95703125
1648898044.6965802,16,28268.17578125
1648898052.163687,17,20920.0859375
1648898059.6123369,18,28191.04296875
1648898067.039847,19,26424.1328125
1648898074.498574,20,24125.765625
1648898081.9358988,21,19179.76953125
1648898089.358881,22,20689.42578125
1648898096.8085618,23,31528.30859375
1648898104.283232,24,27004.9609375
1648898111.732615,25,25938.09375
1648898119.178823,26,21480.90625
1648898126.673166,27,30636.04296875
1648898134.257167,28,28818.982421875
1648898141.833514,29,31276.40625
1648898149.369569,30,31065.19140625
1648898156.955494,31,37061.3515625
1648898164.585527,32,20832.419921875
1648898172.152645,33,28080.6171875
1648898179.772395,34,23424.05859375
1648898187.425022,35,27178.76171875
1648898195.062259,36,20493.19921875
1648898202.7418308,37,29307.330078125
1648898210.381393,38,35316.8671875
1648898217.958306,39,23292.55078125
1648898225.628169,40,27616.4765625
1648898233.2451,41,33116.140625
1648898240.818635,42,35348.171875
1648898248.436756,43,36248.640625
1648898256.109746,44,27158.7578125
1648898263.728978,45,14981.09375
1648898271.547244,46,27701.16796875
1648898279.365859,47,18041.09375
1648898287.090529,48,21939.435546875
1648898294.842456,49,14085.0576171875
1648898302.570112,50,21777.900390625
1648898310.2078872,51,20922.5234375
1648898317.913936,52,28542.40234375
1648898325.629632,53,31989.3203125
1648898333.238695,54,18676.294921875
1648898340.958032,55,19285.181640625
1648898348.637486,56,15413.8642578125
1648898356.305399,57,21643.580078125
1648898363.9173892,58,20429.666015625
1648898371.5974889,59,25228.681640625
1648898379.27942,60,15677.017578125
1648898386.894618,61,28120.7734375
1648898394.556469,62,25667.16015625
1648898402.223538,63,15117.83203125
1648898409.832535,64,19486.1328125
1648898417.5269911,65,19755.263671875
1648898425.205694,66,16528.6015625
1648898432.8734238,67,18637.6953125
1648898440.5824718,68,19902.9765625
1648898448.2763038,69,17752.03515625
1648898455.991275,70,26750.61328125
1648898463.730439,71,23305.509765625
1648898471.451582,72,19612.271484375
1648898479.1109471,73,24548.287109375
1648898486.817035,74,17783.5
1648898494.547704,75,13336.65625
1648898502.225185,76,14611.3681640625
1648898509.937588,77,23481.880859375
1648898517.649035,78,22169.150390625
1648898525.3400939,79,18640.04296875
1648898533.0642061,80,22567.890625
1648898540.784689,81,16034.701171875
1648898548.44005,82,22602.5546875
1648898556.1754618,83,20143.9140625
1648898563.903738,84,13494.9482421875
1648898571.58013,85,15070.083984375
1648898579.681487,86,16572.791015625
1648898587.482235,87,13968.505859375
1648898595.200516,88,16217.794921875
1648898602.960332,89,23594.25
1648898610.725904,90,20736.25390625
1648898618.447804,91,20017.5
1648898626.168834,92,16711.671875
1648898633.820002,93,16200.826171875
1648898641.413497,94,17152.03125
1648898649.0642,95,33776.96484375
1648898656.734229,96,24789.2578125
1648898664.3849971,97,11823.5537109375
1648898671.980881,98,21209.208984375
1648898679.6564538,99,22969.251953125
1648898687.3183591,100,10684.638671875
1648898694.925625,101,20303.33203125
1648898702.567599,102,19399.23828125
1648898710.238791,103,26043.515625
1648898717.846832,104,20669.44140625
1648898725.510371,105,34542.06640625
1648898733.1410592,106,20269.33203125
1648898740.737186,107,15649.2919921875
1648898748.388771,108,18994.615234375
1648898756.0311391,109,17876.75
1648898763.617667,110,24704.638671875
1648898771.264081,111,25637.375
1648898778.9067671,112,31974.7265625
1648898786.5145228,113,24381.037109375
1648898794.1737332,114,29249.1484375
1648898801.8382452,115,17311.11328125
1648898809.45508,116,18923.92578125
1648898817.132234,117,22625.86328125
1648898824.811418,118,22467.697265625
1648898832.434249,119,14565.1572265625
1648898840.111284,120,21738.890625
1648898847.775713,121,22510.3828125
1648898855.3835928,122,20128.470703125
1648898863.0532281,123,13671.7109375
1648898870.7278311,124,16571.30859375
1648898878.34026,125,13131.9580078125
1648898886.004416,126,15555.1328125
1648898893.719884,127,17510.7421875
1648898901.340833,128,16211.275390625
1648898908.990206,129,21117.12109375
1648898916.633246,130,20849.080078125
1648898924.239546,131,19694.37109375
1648898931.899349,132,15175.6025390625
1648898939.554664,133,18266.75390625
1648898947.1426308,134,30389.76953125
1648898954.791611,135,20320.736328125
1648898962.4706151,136,25561.291015625
1648898970.130941,137,16197.0546875
1648898977.7316082,138,27873.83984375
1648898985.397856,139,25956.564453125
1648898993.057076,140,15144.3193359375
1648899000.6631591,141,15810.400390625
1648899008.3242528,142,27988.32421875
1648899015.999258,143,14458.576171875
1648899023.6293252,144,13092.9541015625
1648899031.298568,145,26284.0625
1648899038.98033,146,14868.9384765625
1648899046.606936,147,20917.3203125
1648899054.306981,148,15550.517578125
1648899061.981109,149,21991.529296875
1648899069.586006,150,16964.08984375
1648899077.268366,151,20631.109375
1648899084.946029,152,20774.580078125
1648899092.561583,153,26361.625
1648899100.237977,154,31500.412109375
1648899107.881845,155,16968.951171875
1648899115.502917,156,15524.75
1648899123.1656609,157,22029.42578125
1648899130.85589,158,15064.6572265625
1648899138.491744,159,21281.5859375
1648899146.169981,160,22342.259765625
1648899153.8494132,161,19855.923828125
1648899161.4888,162,16484.962890625
1648899169.187808,163,19631.52734375
1648899176.874173,164,21498.29296875
1648899184.497094,165,30685.66015625
1648899192.181299,166,18851.208984375
