Wall time,Step,Value
1648903077.593,0,28428.0
1648903078.496642,1,18780.353515625
1648903089.4231,2,15557.6875
1648903101.1850398,3,17613.328125
1648903112.556021,4,10589.4326171875
1648903124.4752798,5,16284.17578125
1648903136.273104,6,18291.95703125
1648903148.3457248,7,16300.9404296875
1648903160.420355,8,14584.7470703125
1648903172.6664488,9,7665.6748046875
1648903184.883457,10,17404.171875
1648903197.261714,11,13249.4501953125
1648903209.403751,12,14182.2998046875
1648903221.606175,13,9282.1171875
1648903233.861953,14,9943.2724609375
1648903246.0300539,15,7292.72265625
1648903258.486613,16,13484.9990234375
1648903270.916657,17,11323.8828125
1648903283.472856,18,12693.9306640625
1648903295.906913,19,6908.60498046875
1648903308.579224,20,9232.1328125
1648903321.3012412,21,12290.423828125
1648903334.042779,22,9781.7998046875
1648903347.019943,23,8220.9052734375
1648903359.766628,24,16419.6796875
1648903372.643556,25,7903.7041015625
1648903385.389434,26,14742.330078125
1648903398.351073,27,10954.072265625
1648903411.4321039,28,9913.58984375
1648903424.3970392,29,11774.0419921875
1648903437.669479,30,10305.2490234375
1648903450.784363,31,9426.4345703125
1648903463.815962,32,9315.4423828125
1648903476.834017,33,8186.693359375
1648903489.8730009,34,9970.9326171875
1648903503.141479,35,10522.2099609375
1648903516.60909,36,8212.298828125
1648903529.829779,37,9033.7548828125
1648903543.028099,38,9076.5009765625
1648903556.278133,39,9441.1787109375
1648903569.707341,40,11248.07421875
1648903583.654676,41,9430.306640625
1648903597.2601511,42,10436.025390625
1648903610.9046242,43,10044.572265625
1648903624.606693,44,7053.962890625
1648903638.195874,45,8248.416015625
1648903651.982469,46,12856.4814453125
1648903665.841095,47,8738.2900390625
1648903679.50484,48,14799.646484375
1648903695.0855439,49,10672.47265625
1648903709.251279,50,13353.8037109375
1648903723.1879969,51,12628.607421875
1648903737.31319,52,17760.93359375
1648903751.4490979,53,13283.2958984375
1648903765.473115,54,13364.669921875
1648903779.647894,55,9364.99609375
1648903793.6876018,56,8981.2890625
1648903807.956897,57,10291.76171875
1648903822.266529,58,7903.5068359375
1648903836.321855,59,10549.2158203125
1648903850.588199,60,13490.0205078125
1648903864.91324,61,9639.232421875
1648903879.3217878,62,10106.9013671875
1648903893.7200902,63,11166.5966796875
1648903908.285384,64,6878.9052734375
1648903922.907201,65,10482.30078125
1648903937.53133,66,6670.26513671875
1648903952.518684,67,7516.21630859375
1648903967.5033321,68,8364.1904296875
1648903982.384039,69,6248.09619140625
1648903997.481528,70,5821.318359375
1648904012.50954,71,9987.5712890625
1648904027.4215412,72,9526.8671875
1648904042.212955,73,10541.2900390625
1648904056.773233,74,9008.9248046875
1648904071.83565,75,14021.310546875
1648904086.841596,76,10521.6201171875
1648904102.204324,77,11105.4345703125
1648904117.299225,78,11990.4384765625
1648904132.4564328,79,10321.2421875
1648904147.807647,80,12010.6923828125
1648904163.545279,81,8286.1142578125
1648904179.5479062,82,7087.39794921875
1648904195.136957,83,7631.8994140625
1648904210.802248,84,10604.5068359375
1648904226.103308,85,7734.44482421875
1648904241.72205,86,7001.47705078125
1648904257.378237,87,10408.82421875
1648904273.184133,88,10372.4658203125
1648904288.620256,89,6684.015625
1648904304.1894631,90,10339.779296875
1648904319.896937,91,7558.38232421875
1648904336.585402,92,5864.47265625
1648904352.662608,93,10893.6943359375
1648904368.561582,94,8208.48828125
1648904384.581915,95,7152.18017578125
1648904401.037597,96,8453.3203125
1648904417.5272582,97,6858.8896484375
1648904433.6294222,98,9536.470703125
1648904449.958207,99,7553.45166015625
1648904466.387985,100,8684.6748046875
