Wall time,Step,Value
1648885473.69021,0,-0.10000000149011612
1648885474.1795819,1,83.0
1648885476.587975,2,95.69999694824219
1648885483.195452,3,135.10000610351562
1648885490.116897,4,148.89999389648438
1648885496.612739,5,133.89999389648438
1648885503.127014,6,151.0
1648885509.800471,7,165.1999969482422
1648885516.62399,8,148.10000610351562
1648885523.380971,9,147.3000030517578
1648885530.208391,10,154.39999389648438
1648885537.011123,11,152.3000030517578
1648885543.81642,12,146.0
1648885550.5966861,13,169.10000610351562
1648885557.4075441,14,194.8000030517578
1648885564.261194,15,193.60000610351562
1648885571.1223822,16,145.89999389648438
1648885577.94847,17,148.60000610351562
1648885584.861115,18,124.5999984741211
1648885591.7414532,19,174.0
1648885598.620165,20,136.39999389648438
1648885605.999082,21,149.6999969482422
1648885613.0118332,22,131.60000610351562
1648885619.965507,23,135.89999389648438
1648885626.888792,24,106.69999694824219
1648885633.8379872,25,177.3000030517578
1648885641.011298,26,129.6999969482422
1648885648.0957,27,123.0
1648885655.25488,28,169.39999389648438
1648885662.3606138,29,165.39999389648438
1648885669.438219,30,148.3000030517578
1648885676.546817,31,129.89999389648438
1648885683.690697,32,154.8000030517578
1648885690.773907,33,158.5
1648885697.868499,34,165.10000610351562
1648885704.933286,35,146.3000030517578
1648885712.141991,36,176.8000030517578
1648885719.698196,37,157.10000610351562
1648885727.08461,38,164.60000610351562
1648885734.188237,39,172.39999389648438
1648885741.468535,40,163.39999389648438
1648885748.687468,41,139.10000610351562
1648885755.782539,42,122.5999984741211
1648885762.980145,43,145.1999969482422
1648885770.096725,44,153.60000610351562
1648885777.248967,45,149.6999969482422
1648885784.505034,46,146.0
1648885791.637037,47,172.5
1648885798.845471,48,150.0
1648885806.0666702,49,161.60000610351562
1648885813.552089,50,156.60000610351562
1648885820.961408,51,160.10000610351562
1648885828.451065,52,168.39999389648438
1648885835.8993568,53,155.8000030517578
1648885843.128973,54,159.8000030517578
1648885850.493501,55,156.39999389648438
1648885857.805429,56,169.39999389648438
1648885865.192748,57,169.6999969482422
1648885872.498802,58,161.8000030517578
1648885879.8913898,59,170.10000610351562
1648885887.2131891,60,154.60000610351562
1648885894.6265259,61,169.1999969482422
1648885901.9677272,62,166.0
1648885909.434564,63,152.89999389648438
1648885916.797857,64,156.3000030517578
1648885924.258382,65,170.0
1648885931.653033,66,144.1999969482422
1648885939.157129,67,161.39999389648438
1648885946.580566,68,151.5
1648885954.1020968,69,153.60000610351562
1648885961.552434,70,153.5
1648885969.298016,71,165.8000030517578
1648885976.899044,72,151.6999969482422
1648885984.464703,73,161.89999389648438
1648885991.9534311,74,157.0
1648885999.5777469,75,170.39999389648438
1648886007.103612,76,171.6999969482422
1648886014.799097,77,184.6999969482422
1648886022.378769,78,178.60000610351562
1648886030.202284,79,164.39999389648438
1648886037.914034,80,139.10000610351562
1648886045.603498,81,150.60000610351562
1648886053.222445,82,156.1999969482422
1648886060.864636,83,139.3000030517578
1648886068.56722,84,153.10000610351562
1648886076.1800609,85,194.39999389648438
1648886083.904224,86,126.19999694824219
1648886091.579133,87,192.5
1648886099.3412108,88,146.39999389648438
1648886107.0025349,89,147.60000610351562
1648886114.731616,90,129.8000030517578
1648886122.5737972,91,208.60000610351562
1648886130.301089,92,170.8000030517578
1648886138.116401,93,167.60000610351562
1648886145.9670799,94,163.0
1648886154.2069,95,152.5
1648886162.266549,96,119.30000305175781
1648886170.368256,97,135.89999389648438
1648886178.426576,98,141.5
1648886186.370531,99,170.89999389648438
1648886194.423622,100,99.0
