Wall time,Step,Value
1648885473.6904929,0,9781.0
1648885474.179753,1,6236.01611328125
1648885476.588088,2,4857.4013671875
1648885483.195575,3,2814.4609375
1648885490.117008,4,2483.2177734375
1648885496.612858,5,3257.588134765625
1648885503.1272051,6,2976.016357421875
1648885509.800583,7,2334.86572265625
1648885516.6241002,8,3114.851318359375
1648885523.381082,9,2278.752685546875
1648885530.208561,10,2804.2568359375
1648885537.011231,11,2582.181884765625
1648885543.8165278,12,2220.690673828125
1648885550.596797,13,2041.5472412109375
1648885557.4076538,14,2308.7802734375
1648885564.261309,15,1655.223388671875
1648885571.1224902,16,2342.853515625
1648885577.94858,17,2847.96435546875
1648885584.861225,18,4297.70703125
1648885591.74156,19,2648.884033203125
1648885598.6202781,20,2713.512451171875
1648885605.9994361,21,2595.56640625
1648885613.011945,22,3810.70361328125
1648885619.9656188,23,2598.417236328125
1648885626.888906,24,5678.82373046875
1648885633.8381,25,2094.873046875
1648885641.011413,26,4574.26513671875
1648885648.095813,27,3489.006591796875
1648885655.254991,28,1741.4989013671875
1648885662.360723,29,2878.72216796875
1648885669.438328,30,2272.805908203125
1648885676.546925,31,2863.428955078125
1648885683.690808,32,1967.13916015625
1648885690.774028,33,1485.0330810546875
1648885697.8686059,34,2042.1531982421875
1648885704.933395,35,2229.294189453125
1648885712.142101,36,1525.2900390625
1648885719.6983092,37,1463.083251953125
1648885727.084843,38,2977.724365234375
1648885734.1883562,39,1706.89892578125
1648885741.4686432,40,1660.9404296875
1648885748.68767,41,2111.18505859375
1648885755.782649,42,3658.741455078125
1648885762.980257,43,2057.776123046875
1648885770.096834,44,1918.6754150390625
1648885777.249075,45,2326.718505859375
1648885784.505141,46,2313.68115234375
1648885791.6371489,47,1760.872802734375
1648885798.845578,48,1930.45556640625
1648885806.0669188,49,1702.4530029296875
1648885813.552201,50,2043.2615966796875
1648885820.9615202,51,1659.360595703125
1648885828.4512231,52,2381.73779296875
1648885835.899466,53,1906.19482421875
1648885843.129083,54,1870.748779296875
1648885850.49361,55,1978.8023681640625
1648885857.805538,56,1819.877197265625
1648885865.192864,57,1468.67236328125
1648885872.498914,58,2441.86376953125
1648885879.8915,59,1801.11865234375
1648885887.2133062,60,2754.11962890625
1648885894.626636,61,1652.201904296875
1648885901.967835,62,1516.75244140625
1648885909.434675,63,1795.8997802734375
1648885916.797968,64,1956.421630859375
1648885924.258494,65,1407.248291015625
1648885931.653143,66,1567.38427734375
1648885939.1572459,67,1731.5726318359375
1648885946.5806751,68,1512.0484619140625
1648885954.102207,69,1633.8004150390625
1648885961.552543,70,1891.3662109375
1648885969.29813,71,1600.153564453125
1648885976.899153,72,1682.8682861328125
1648885984.464812,73,1520.35546875
1648885991.95354,74,1705.0965576171875
1648885999.577858,75,1257.1275634765625
1648886007.103721,76,1460.8817138671875
1648886014.799208,77,1689.0220947265625
1648886022.37888,78,1229.369873046875
1648886030.202414,79,3030.08154296875
1648886037.914204,80,1885.7159423828125
1648886045.6036081,81,2313.000732421875
1648886053.22256,82,1467.4114990234375
1648886060.864786,83,3576.7587890625
1648886068.567328,84,1761.08447265625
1648886076.1801789,85,2007.1455078125
1648886083.904331,86,3783.156005859375
1648886091.5792441,87,1785.130859375
1648886099.3413582,88,2988.950439453125
1648886107.0026429,89,5584.23046875
1648886114.7317271,90,3441.518310546875
1648886122.573907,91,1175.711669921875
1648886130.3011992,92,1612.133544921875
1648886138.1165109,93,1614.319091796875
1648886145.96719,94,1364.172607421875
1648886154.207018,95,1346.9539794921875
1648886162.26668,96,1971.908203125
1648886170.368397,97,1744.5775146484375
1648886178.4267719,98,1512.8118896484375
1648886186.370647,99,1294.543701171875
1648886194.42373,100,2005.9361572265625
