Wall time,Step,Value
1648658492.896877,0,-20.0
1648658518.2748759,1,-3.0454530715942383
1648658545.6228201,2,-3.499998092651367
1648658573.3574662,3,-4.34782600402832
1648658601.679594,4,-3.4705867767333984
1648658630.187891,5,-2.799999713897705
1648658659.911974,6,-4.187498092651367
1648658690.0477319,7,-3.649998188018799
1648658720.953421,8,-3.7333319187164307
1648658751.2998452,9,-5.071425914764404
1648658782.047136,10,-4.095235347747803
1648658813.301748,11,-2.866665840148926
1648658845.766193,12,-2.4210517406463623
1648658878.569128,13,-2.9999983310699463
1648658912.792171,14,-2.6470582485198975
1648658947.332175,15,-2.999999761581421
1648658982.5945878,16,-2.652172803878784
1648659018.246101,17,-2.823528289794922
1648659054.343405,18,-3.19047474861145
1648659090.994932,19,-3.071427583694458
1648659127.411156,20,-2.2777771949768066
1648659163.163166,21,-3.636361598968506
1648659199.507752,22,-2.6499991416931152
1648659235.571274,23,-2.347825050354004
1648659271.4956942,24,-3.0454530715942383
1648659307.3876119,25,-2.8666656017303467
1648659343.196123,26,-6.25
1648659379.389069,27,-2.476189613342285
1648659415.334165,28,-2.388888120651245
1648659451.2656572,29,-4.34782600402832
1648659487.103356,30,-2.714284658432007
1648659522.933485,31,-2.9130420684814453
1648659558.708128,32,-4.533330917358398
1648659594.552345,33,-2.1428565979003906
1648659630.702658,34,-3.200000047683716
1648659669.062324,35,-2.391303300857544
